a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002201180,02000-65602,FWE-E534NW,40,PRC-RCT,購買入庫,F24-3220085,100,2061.71,206171,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002201180,02000-69601,FWE-334NW,40,PRC-RCT,購買入庫,F24-3220090,60,1872.25,112335,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002001150,02000-84101,FRE-2NTW-1,40,PRC-RCT,購買入庫,F24-4020003,20,1228.46,24570,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002101160,02000-91901,FGE-E25QND-3,40,PRC-RCT,購買入庫,F24-3220118,79,1876.26,148225,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002101160,02000-91912,FGE-E25QNDN-3,40,PRC-RCT,購買入庫,F24-3220121,120,1876.26,225152,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002101160,02000-91913,FGE-E15QNDN-1,40,PRC-RCT,購買入庫,F24-4020002,90,1896.33,170670,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,1002001150,02000R89702,FRE-5NHD-2R,40,PRC-RCT,購買入庫,F24-3220141,150,1355.63,203345,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,3501503780,04500-10508,DTP-P290QHG-1,40,PRC-RCT,購買入庫,F24-3220257,4500,211.68,952560,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,3501503780,04500-20126,DTP-P320QNDKI-14,40,PRC-RCT,購買入庫,F24-3220267,4200,195.67,821814,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,3501503780,04500-20126,DTP-P320QNDKI-14,40,PRC-RCT,購買入庫,F24-3220267,3849,195.67,753134,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,3505003940,04500-24601,TDP-P320QND-18,40,PRC-RCT,購買入庫,F24-3230076,1200,307.83,369396,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,3505003940,04500-24624,TDP-P320QND-32,40,PRC-RCT,購買入庫,F24-3220285,1440,307.83,443276,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2001802530,06000-37401,ATS-B7SHDU-1,40,PRC-RCT,購買入庫,F24-3290216,800,650.88,520704,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2004402980,06000-40702,RAS-QPKND-18,40,PRC-RCT,購買入庫,F24-3220331,870,1390.03,1209327,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2002702640,06000-40907,ACS-BPMD-9,40,PRC-RCT,購買入庫,F24-3290221,1164,429.03,499391,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2002702640,06000-40908,ACS-BPMD-10,40,PRC-RCT,購買入庫,F24-3290222,1188,512.58,608946,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2004502990,06000-42903,APS-BDM-4,40,PRC-RCT,購買入庫,F24-4020075,1000,312.73,312730,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2004502990,06000-42906,APS-BDM-7,40,PRC-RCT,購買入庫,F24-3290224,2000,380.63,761260,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2004402980,06000-43401,RBS-QPKDK-11,40,PRC-RCT,購買入庫,F24-3270010,100,1291.41,129141,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2004402980,06000-43402,RBS-QPKDK-12,40,PRC-RCT,購買入庫,F24-3220339,100,1356.57,135657,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2006101000,06000-52502,VBS-QPLADG-2,40,PRC-RCT,購買入庫,F24-3220371,2000,1349.83,2699660,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,2006701000,06000-62002,RCS-B020DAND-7,40,PRC-RCT,購買入庫,F24-3310233,420,1565.25,657405,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001201000,06160-08713,ﾎﾝﾀｲAS　TR,40,PRC-RCT,購買入庫,U12-3270106,1196,405.46,484931,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001201000,06160-10510,ﾎﾝﾀｲAS QY,40,PRC-RCT,購買入庫,U12-3270107,241,477.63,115109,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001002510,06161-19720,ﾎﾝﾀｲ(AFS),40,PRC-RCT,購買入庫,U12-3270108,1000,162.5,162500,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001002510,06259-00630,ﾊﾟｲﾌﾟ(530ﾒﾂｷﾏｴ),40,PRC-RCT,購買入庫,U12-3270109,1000,31.44,31440,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001201000,07000-92301J,3/8ｽﾄﾚｰﾅNｸﾐﾀﾃ,40,PRC-RCT,購買入庫,U12-3270110,1065,118.14,125820,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,8008007000,07000-92911,FUP-172SM-1,40,PRC-RCT,購買入庫,F24-3220477,500,841.83,420915,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,5408351000,08121-21730,ﾎﾝﾀｲPGM-ND,40,PRC-RCT,購買入庫,U12-3300007,2752,376.34,1035688,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001201000,09110-01111,ｽﾄﾚｰﾅｸﾐﾀﾃ,40,PRC-RCT,購買入庫,U12-3270111,241,122.99,29641,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,5601004870,51000-09903,PLD-12100DM-4,40,PRC-RCT,購買入庫,F24-3290393,300,1328.57,398571,
78,202004,24,完成組立　　　　　　　　　　　,,,20200402,4217,㈱不二テクノス,9501007260,B2020-02310C,CE-S/A-S0231C,40,PRC-RCT,購買入庫,F24-3290454,4000,12.64,50560,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200402,4217,㈱不二テクノス,2001002510,SK699-03600,BRAZE505 0.8*11.4IDリ,40,PRC-RCT,購買入庫,U12-3270112,1000,10.1,10100,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,1001501090,02000-87225,CBE-10QND-60,40,PRC-RCT,購買入庫,F24-3310109,240,688.8,165312,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,1002001150,02000-89708,FRE-10NHD-2,40,PRC-RCT,購買入庫,F24-3290042,120,1466.37,175965,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,1002001150,02000-89708,FRE-10NHD-2,40,PRC-RCT,購買入庫,F24-4020097,167,1485.27,248041,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,1002001140,02000R77701,FFE-E5NTP-3R,40,PRC-RCT,購買入庫,F24-4020096,20,1746.39,34928,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,1002001140,02000R77701,FFE-E5NTP-3R,40,PRC-RCT,購買入庫,F24-3220139,120,1731.22,207747,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,1002001140,02000R77702,FFE-E10NTP-3R,40,PRC-RCT,購買入庫,F24-3220140,178,1671.76,297574,
78,202004,27,委託製品用部品・再検・改造,,,20200403,4217,㈱不二テクノス,1001501070,02100-07701,CXE-15FND-2,40,PRC-RCT,購買入庫,F27-4020102,6,0,0,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3008003430,04000-02002,VFP-F406TB-1,40,PRC-RCT,購買入庫,F24-3290198,20,3212.3,64246,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3008003430,04000-02003,VFP-F406TB-2,40,PRC-RCT,購買入庫,F24-3290199,40,3212.3,128492,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3008003430,04000-03010,VFP-F406EB-10,40,PRC-RCT,購買入庫,F24-3310205,15,3336.76,50052,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3501503780,04500-20126,DTP-P320QNDKI-14,40,PRC-RCT,購買入庫,F24-3290200,3600,195.67,704412,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3501503780,04500-20126,DTP-P320QNDKI-14,41,PRC-CRC,購買入庫訂正,F24-3220267,-3849,195.67,-753134,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3505003940,04500-24601,TDP-P320QND-18,40,PRC-RCT,購買入庫,F24-3230076,1200,307.83,369396,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3505003940,04500-24601,TDP-P320QND-18,41,PRC-CRC,購買入庫訂正,F24-3230076,-1200,307.83,-369396,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3505003940,04500-24624,TDP-P320QND-32,40,PRC-RCT,購買入庫,F24-3220285,1440,307.83,443276,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,3505003940,04500-24624,TDP-P320QND-32,41,PRC-CRC,購買入庫訂正,F24-3220285,-1440,307.83,-443276,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2001002510,06000-32302,AFS-BQF2DG-3,40,PRC-RCT,購買入庫,F24-3220318,300,844.44,253332,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2001802530,06000-37302,ATS-B7SHDU-2,40,PRC-RCT,購買入庫,F24-3290214,800,649.5,519600,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2004402980,06000-40702,RAS-QPKND-18,40,PRC-RCT,購買入庫,F24-3220331,780,1390.03,1084224,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2002702640,06000-40907,ACS-BPMD-9,40,PRC-RCT,購買入庫,F24-3290221,1164,429.03,499391,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2002702640,06000-40908,ACS-BPMD-10,40,PRC-RCT,購買入庫,F24-3290222,1180,512.58,604845,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2004502990,06000-42906,APS-BDM-7,40,PRC-RCT,購買入庫,F24-3290224,2000,380.63,761260,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2001201000,06000-51502,AUS-QY3JK-2,40,PRC-RCT,購買入庫,F24-3220362,186,1489.18,276988,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2001201000,06000-52304,AUS-GY3SY-2,40,PRC-RCT,購買入庫,F24-3220369,100,1725,172500,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2006101000,06000-52502,VBS-QPLADG-2,40,PRC-RCT,購買入庫,F24-3220371,2000,1349.83,2699660,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2006301000,06000-58901,RFS-QPKSM-1,40,PRC-RCT,購買入庫,F24-3220384,240,2003.59,480862,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2006701000,06000-62002,RCS-B020DAND-7,40,PRC-RCT,購買入庫,F24-3310233,164,1565.25,256701,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,2006701000,06000-62002,RCS-B020DAND-7,40,PRC-RCT,購買入庫,F24-4050113,256,1537.02,393478,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,5601004870,51000-09903,PLD-12100DM-4,40,PRC-RCT,購買入庫,F24-3290393,400,1328.57,531428,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,5601004870,51000R06101,PLD-12100R,40,PRC-RCT,購買入庫,F24-4030001,300,1092.42,327726,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B231-140017S,BS-OR-S14001,40,PRC-RCT,購買入庫,F24-3310518,2500,4.33,10825,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B231-140017S,BS-OR-S14001,40,PRC-RCT,購買入庫,F24-3290513,1200,4.33,5196,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B231-140017S,BS-OR-S14001,40,PRC-RCT,購買入庫,F24-3220922,1000,4.33,4330,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B6010-09810S,BS-COIL/A-S0981,40,PRC-RCT,購買入庫,F24-3290515,300,359.69,107907,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B6010-16420S,BS-COIL/A-S1642,40,PRC-RCT,購買入庫,F24-3290520,100,357.05,35705,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B6020-09030S,BS-COIL/A-S0903,40,PRC-RCT,購買入庫,F24-3220926,300,242.55,72765,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B6110-00114S,BS-S/A-S0011,40,PRC-RCT,購買入庫,F24-3220933,6480,104.43,676707,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B9021-01730S,BS-F/NUT-S0173,40,PRC-RCT,購買入庫,F24-3220958,2000,42.82,85640,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B9043-00110S,BS-BUSHING-S0011,40,PRC-RCT,購買入庫,F24-3220968,6000,4.53,27180,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B9092-00210S,BS-W-S0021,40,PRC-RCT,購買入庫,F24-3220997,4000,6.45,25800,
78,202004,24,完成組立　　　　　　　　　　　,,,20200403,4217,㈱不二テクノス,9504401000,B9092-00210S,BS-W-S0021,40,PRC-RCT,購買入庫,F24-3290616,4000,6.45,25800,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1002001150,02000-58103,FRE-1034NW,40,PRC-RCT,購買入庫,F24-3220084,120,1267.7,152124,
78,202004,25,再検・改造,,,20200406,4217,㈱不二テクノス,1001501090,02000-88806,CBE-10QRD-2,40,PRC-RCT,購買入庫,F25-4010059,20,456,9120,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1002101160,02000-91916,FGE-E25QND-15,40,PRC-RCT,購買入庫,F24-3260164,419,1859.51,779135,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1002001150,02100-20603,FRE-E1534GW,40,PRC-RCT,購買入庫,F24-3220180,40,1441.99,57680,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1002001150,02100-20604,FRE-E2034GW,40,PRC-RCT,購買入庫,F24-3220181,40,1441.99,57680,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1002001150,02100-31802,FRE-3KHD-1,40,PRC-RCT,購買入庫,F24-4060002,160,1508.69,241391,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1002201180,02100-61008,FWE-E1534TW,40,PRC-RCT,購買入庫,F24-3220231,40,1941.08,77644,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3501503780,04500-11022,DTP-P270QDK-12,40,PRC-RCT,購買入庫,F24-3220259,120,231.63,27796,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3501503780,04500-11022,DTP-P270QDK-12,40,PRC-RCT,購買入庫,F24-4030061,5,229.45,1148,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3501503780,04500-20126,DTP-P320QNDKI-14,40,PRC-RCT,購買入庫,F24-3290200,2100,195.67,410907,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3501503780,04500-20127,DTP-P320QNDN-14,40,PRC-RCT,購買入庫,F24-3290201,1610,195.67,315029,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3505003940,04500-24611,TDP-P320QND-27,40,PRC-RCT,購買入庫,F24-3230077,782,292.48,228720,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3505003940,04500-24615,TDP-P320QND-30,40,PRC-RCT,購買入庫,F24-3220282,1242,307.83,382325,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3501503780,04500-29110,DTP-P320QDKT-1,40,PRC-RCT,購買入庫,F24-3220289,6300,206.2,1299060,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,3501503780,04500-30503,DTP-P320QNDS-24,40,PRC-RCT,購買入庫,F24-3220293,300,205,61500,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2004402980,06000-26204,RBS-P020DBZC-1,40,PRC-RCT,購買入庫,F24-3270020,180,1240.3,223254,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2001002510,06000-32302,AFS-BQF2DG-3,40,PRC-RCT,購買入庫,F24-3220318,300,844.44,253332,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2004402980,06000-40702,RAS-QPKND-18,40,PRC-RCT,購買入庫,F24-3220331,960,1390.03,1334429,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2002702640,06000-40907,ACS-BPMD-9,40,PRC-RCT,購買入庫,F24-3290221,1178,429.03,505398,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2002702640,06000-40908,ACS-BPMD-10,40,PRC-RCT,購買入庫,F24-3290222,1180,512.58,604845,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2004502990,06000-42906,APS-BDM-7,40,PRC-RCT,購買入庫,F24-3290224,2000,380.63,761260,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2001802530,06000-50501,ATS-B6SAS-1,40,PRC-RCT,購買入庫,F24-3290234,799,736.5,588464,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2006101000,06000-52502,VBS-QPLADG-2,40,PRC-RCT,購買入庫,F24-3220371,1000,1349.83,1349830,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2006301000,06000-58901,RFS-QPKSM-1,40,PRC-RCT,購買入庫,F24-3220384,240,2003.59,480862,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2004402980,06000-61802,RBS-QP3EX-2,40,PRC-RCT,購買入庫,F24-4060012,30,1144.59,34338,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2006701000,06000-62002,RCS-B020DAND-7,40,PRC-RCT,購買入庫,F24-4050113,415,1537.02,637864,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,2006101000,06000-64701,VBS-P030PAFKS-2,40,PRC-RCT,購買入庫,F24-3220405,800,1738.51,1390808,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200406,4217,㈱不二テクノス,2005701000,06010-19921,ｺｲﾙｿｳｸﾐﾀﾃRUS1-BMW,40,PRC-RCT,購買入庫,U12-2200131,200,461.81,92362,
82,202004,12,部品　　　　　　　　　　　　　,F6061,生産管理グループ,20200406,4217,㈱不二テクノス,2005701000,06010-19921,ｺｲﾙｿｳｸﾐﾀﾃRUS1-BMW,40,PRC-RCT,購買入庫,U12-3180076,100,461.81,46181,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,8002006800,07000-86401,CJ3-2F2GFN-1,40,PRC-RCT,購買入庫,F24-4050117,800,611.59,489272,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,8008007000,07000-92902,FUP-179TC-1,40,PRC-RCT,購買入庫,F24-3220476,400,739.15,295660,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,1001501090,22000-20801,CBE-10FND,40,PRC-RCT,購買入庫,F24-4060019,100,630,63000,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,5601005310,51000-12601,PND-Q25100DQ-1,40,PRC-RCT,購買入庫,F24-3220848,340,461.02,156747,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007260,B2010-38270C,CE-P/A-S3827C,40,PRC-RCT,購買入庫,F24-4060030,3941,145.65,574007,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007260,B2010-38290C,CE-P/A-S3829C,40,PRC-RCT,購買入庫,F24-4050302,200,133.29,26658,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007260,B2010-47120C,CE-P/A-S4712C,40,PRC-RCT,購買入庫,F24-3310462,391,50.51,19750,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007260,B2010-47120C,CE-P/A-S4712C,40,PRC-RCT,購買入庫,F24-3220883,109,50.51,5506,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007260,B2010-47190C,CE-P/A-S4719C,40,PRC-RCT,購買入庫,F24-4010090,2994,78.46,234910,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007260,B2020-02310H,CE-S/A-H0231,40,PRC-RCT,購買入庫,F24-3220906,6000,16.54,99240,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007250,B2041-42210C,CE-BODY-S4221C,40,PRC-RCT,購買入庫,F24-4050353,200,196.88,39376,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007250,B2041-42210H,CE-BODY-H4221,40,PRC-RCT,購買入庫,F24-3310497,5000,192.48,962400,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007250,B2041-42910C,CE-BODY-S4291C,40,PRC-RCT,購買入庫,F24-3170080,300,184.01,55203,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007250,B2041-42920C,CE-BODY-S4292C,40,PRC-RCT,購買入庫,F24-4010094,200,186.12,37224,
78,202004,24,完成組立　　　　　　　　　　　,,,20200406,4217,㈱不二テクノス,9501007250,B2041-51720H,CE-BODY-H5172,40,PRC-RCT,購買入庫,F24-3290477,4000,191.1,764400,
